ID,Vaccine,Day,sgL CoV Avg Ct,18s rRNA Avg Ct,delta Ct,2^(-delta Ct)
D2 PBS-1,PBS,2,27.674863,25.72431069,1.950552313,0.258717166
D2 PBS-2,PBS,2,27.21485005,22.96561285,4.249237202,0.052583821
D2 PBS-3,PBS,2,27.27859701,23.83156379,3.447033214,0.091693723
D2 MIT-1,MIT,2,28.56612951,24.69046603,3.875663474,0.068125396
D2 MIT-2,MIT,2,28.10367268,24.99635044,3.107322247,0.116038685
D2 MIT-3,MIT,2,27.93586196,24.54009961,3.395762345,0.095010953
D2 BNT-1,Pfizer/BNT,2,41.37529112,26.11586666,15.25942446,2.5495E-05
D2 BNT-2,Pfizer/BNT,2,39.3269632,25.51353719,13.81342601,6.94615E-05
D2 BNT-3,Pfizer/BNT,2,39.95720942,25.89868748,14.05852194,5.86089E-05
D7 PBS-1,PBS,7,35.61386141,27.84955396,7.764307453,0.004599499
D7 PBS-2,PBS,7,35.93218961,29.40166264,6.530526966,0.010817216
D7 PBS-3,PBS,7,32.91680845,27.93214907,4.984659378,0.031584064
D7 PBS-4,PBS,7,37.25480361,26.04792041,11.2068832,0.00042305
D7 PBS-5,PBS,7,36.73826989,29.16639173,7.571878168,0.005255784
D7 MIT-1,MIT,7,36.22434092,27.32182109,8.902519834,0.002089655
D7 MIT-2,MIT,7,38.0571274,27.42278675,10.63434065,0.000629136
D7 MIT-3,MIT,7,35.99529268,29.10008618,6.895206502,0.008401097
D7 MIT-4,MIT,7,37.27408038,30.03184381,7.242236569,0.00660495
D7 MIT-5,MIT,7,36.51168045,28.17960463,8.332075826,0.003103096
D7 BNT-1,Pfizer/BNT,7,35.0521491,29.71342725,5.338721849,0.024710674
D7 BNT-2,Pfizer/BNT,7,37.49023925,32.18630699,5.303932265,0.025313797
D7 BNT-3,Pfizer/BNT,7,37.86214118,27.98644664,9.875694542,0.001064436
D7 BNT-4,Pfizer/BNT,7,36.86561693,30.46659124,6.399025684,0.011849535
D7 BNT-5,Pfizer/BNT,7,37.65531656,31.89282523,5.76249133,0.018421172
