ID,Vaccine,Day,nCoV Avg Ct,18s rRNA Avg Ct,delta Ct,2^(-delta Ct)
D2 PBS-1,PBS,2,19.63643801,25.72431069,-6.087872683,68.01932021
D2 PBS-2,PBS,2,18.74325777,22.96561285,-4.222355072,18.66618342
D2 PBS-3,PBS,2,19.4028205,23.83156379,-4.428743295,21.5369686
D2 MIT-1,MIT,2,20.33136502,24.69046603,-4.359101015,20.52202252
D2 MIT-2,MIT,2,19.85013326,24.99635044,-5.146217179,35.41324591
D2 MIT-3,MIT,2,19.83376681,24.54009961,-4.706332804,26.10642137
D2 BNT-1,Pfizer/BNT,2,32.36570318,26.11586666,6.249836525,0.013140495
D2 BNT-2,Pfizer/BNT,2,34.70830977,25.51353719,9.194772581,0.001706466
D2 BNT-3,Pfizer/BNT,2,34.27699142,25.89868748,8.378303941,0.00300524
D7 PBS-1,PBS,7,24.70260896,27.84955396,-3.146945001,8.857778988
D7 PBS-2,PBS,7,24.86204293,29.40166264,-4.539619712,23.25742891
D7 PBS-3,PBS,7,22.51306963,27.93214907,-5.41907944,42.78637175
D7 PBS-4,PBS,7,26.65796931,26.04792041,0.610048903,0.655174493
D7 PBS-5,PBS,7,25.9019439,29.16639173,-3.264447824,9.609409793
D7 MIT-1,MIT,7,26.45197421,27.32182109,-0.869846876,1.827468927
D7 MIT-2,MIT,7,27.30567825,27.42278675,-0.117108503,1.084558974
D7 MIT-3,MIT,7,25.55206023,29.10008618,-3.548025948,11.69666996
D7 MIT-4,MIT,7,26.6996167,30.03184381,-3.332227113,10.07164277
D7 MIT-5,MIT,7,26.11994692,28.17960463,-2.059657707,4.168873822
D7 BNT-1,Pfizer/BNT,7,31.11404493,29.71342725,1.400617682,0.37876694
D7 BNT-2,Pfizer/BNT,7,34.402854,32.18630699,2.216547017,0.215155703
D7 BNT-3,Pfizer/BNT,7,36.42626077,27.98644664,8.439814126,0.002879803
D7 BNT-4,Pfizer/BNT,7,36.29435286,30.46659124,5.827761615,0.017606334
D7 BNT-5,Pfizer/BNT,7,35.48592553,31.89282523,3.593100304,0.082864599
