ID,Vaccine,Cage,Tag-Ear,0,1,2,3,4,5,6,7,15% Loss,20% Loss
G1-1,PBS,1,NC,1,1.003058104,0.929663609,0.868501529,0.819571865,0.779816514,0.755351682,0.76146789,0.85,0.8
G1-2,PBS,1,White,1,1.015060241,0.948795181,0.888554217,0.852409639,0.813253012,0.777108434,0.743975904,0.85,0.8
G1-3,PBS,1,orange,1,1.015576324,0.92834891,0.869158879,0.831775701,0.800623053,0.763239875,0.757009346,0.85,0.8
G1-4,PBS,1,Blue,1,1.020512821,0.969230769,0.905128205,0.861538462,0.841025641,0.787179487,0.771794872,0.85,0.8
G1-5,PBS,1,Green,1,1.012987013,0.957792208,0.899350649,0.850649351,0.824675325,0.814935065,0.837662338,0.85,0.8
G2-1,MIT,2,NC,1,0.991017964,0.928143713,0.883233533,0.856287425,0.826347305,0.862275449,0.907185629,0.85,0.8
G2-2,MIT,2,White,1,1.00617284,0.966049383,0.888888889,0.907407407,0.925925926,0.953703704,0.947530864,0.85,0.8
G2-3,MIT,2,orange,1,1.017064846,0.938566553,0.890784983,0.877133106,0.901023891,0.931740614,0.955631399,0.85,0.8
G2-4,MIT,2,Blue,1,1.024096386,0.954819277,0.90060241,0.870481928,0.855421687,0.88253012,0.891566265,0.85,0.8
G2-5,MIT,2,Green,1,0.993939394,0.963636364,0.893939394,0.86969697,0.833333333,0.839393939,0.851515152,0.85,0.8
G3-1,BNT,3,NC,1,0.949206349,0.952380952,0.952380952,0.952380952,0.93968254,0.936507937,0.946031746,0.85,0.8
G3-2,BNT,3,White,1,0.980392157,0.980392157,0.970588235,0.980392157,0.964052288,0.954248366,0.964052288,0.85,0.8
G3-3,BNT,3,orange,1,0.946202532,0.974683544,0.981012658,0.984177215,0.981012658,0.981012658,0.996835443,0.85,0.8
G3-4,BNT,3,Blue,1,0.99112426,1,0.979289941,0.99408284,0.982248521,0.976331361,0.99112426,0.85,0.8
G3-5,BNT,3,Green,1,0.981884058,0.981884058,0.971014493,0.981884058,0.963768116,0.967391304,0.974637681,0.85,0.8
G5-3,PBS,5,orange,1,1.003125,0.9375,0,0,0,0,0,0.85,0.8
G5-4,PBS,5,Blue,1,0.994791667,0.958333333,0,0,0,0,0,0.85,0.8
G5-5,PBS,5,Green,1,0.996721311,0.973770492,0,0,0,0,0,0.85,0.8
G6-2,BNT,6,White,1,1.01038961,1.012987013,0,0,0,0,0,0.85,0.8
G6-3,BNT,6,orange,1,1.013651877,1.006825939,0,0,0,0,0,0.85,0.8
G6-4,BNT,6,Blue,1,1.002754821,0.994490358,0,0,0,0,0,0.85,0.8
G7-2,MIT,7,White,1,1.01396648,0.969273743,0,0,0,0,0,0.85,0.8
G7-3,MIT,7,orange,1,1.005571031,0.949860724,0,0,0,0,0,0.85,0.8
G7-4,MIT,7,Blue,1,1.013651877,0.959044369,0,0,0,0,0,0.85,0.8
